mandal,date,year,month,week,rainfall,temp_min,temp_max,humidity_min,humidity_max
Achampet,2018-10-28,2018,Oct,43,0.0,19.38571428571428,34.47142857142858,31.22142857142857,86.49285714285715
Achampet,2018-11-04,2018,Nov,44,0.0,20.58571428571429,33.14285714285715,37.80714285714286,82.01428571428572
Achampet,2018-11-11,2018,Nov,45,0.0,20.0,34.43571428571429,35.62857142857143,91.05714285714285
Achampet,2018-11-18,2018,Nov,46,0.0,19.86428571428572,33.44285714285714,29.5,81.05
Achampet,2018-11-25,2018,Nov,47,0.0,20.75714285714286,32.89285714285715,37.92142857142857,86.67142857142858
Achampet,2018-12-02,2018,Dec,48,0.0,17.03571428571428,32.05714285714286,28.45,84.02142857142857
Achampet,2018-12-09,2018,Dec,49,0.131578947368421,20.32105263157895,30.68947368421053,49.15263157894736,92.46842105263158
Achampet,2018-12-16,2018,Dec,50,0.0,18.93809523809524,30.74761904761905,42.59047619047619,89.9857142857143
Achampet,2018-12-23,2018,Dec,51,0.02380952380952381,17.18571428571428,26.49523809523809,51.87142857142857,97.11904761904762
Achampet,2018-12-30,2018,Dec,52,0.0,17.46666666666667,30.72857142857143,33.83333333333334,84.91428571428571
Achampet,2019-01-06,2019,Jan,1,0.0,13.6047619047619,29.88571428571429,22.15238095238095,76.24761904761905
Achampet,2019-01-13,2019,Jan,2,0.0,15.58095238095238,30.60476190476191,25.31428571428572,82.11904761904762
Achampet,2019-01-20,2019,Jan,3,0.0,15.66190476190476,31.79047619047619,25.16666666666667,82.18095238095238
Achampet,2019-01-27,2019,Jan,4,0.0,18.07142857142857,31.23809523809524,33.35714285714285,85.23333333333333
Achampet,2019-02-03,2019,Feb,5,2.361904761904762,16.98095238095238,28.1,44.86666666666667,92.56666666666668
Achampet,2019-02-10,2019,Feb,6,0.0,20.27619047619048,32.23809523809524,31.81904761904762,78.50952380952381
Achampet,2019-02-17,2019,Feb,7,0.0,20.37142857142857,33.65238095238095,30.63333333333333,84.11428571428571
Achampet,2019-02-24,2019,Feb,8,0.0,20.85238095238095,35.63809523809524,28.56190476190476,73.23333333333333
Achampet,2019-03-03,2019,Mar,9,0.0,21.77142857142857,34.87619047619047,28.56190476190476,75.0
Achampet,2019-03-10,2019,Mar,10,0.0,22.15238095238095,36.10952380952381,22.93333333333333,73.14761904761905
Achampet,2019-03-17,2019,Mar,11,0.0,23.69047619047619,37.47142857142857,18.05238095238095,52.82857142857144
Achampet,2019-03-24,2019,Mar,12,0.0,22.34761904761905,37.19047619047619,22.42857142857143,73.04285714285714
Achampet,2019-03-31,2019,Mar,13,0.0,23.87619047619048,38.71904761904762,18.05714285714286,56.42380952380953
Achampet,2019-04-07,2019,Apr,14,0.5619047619047619,25.46666666666667,38.69047619047619,18.45238095238095,62.35714285714285
Achampet,2019-04-14,2019,Apr,15,1.633333333333333,25.01428571428571,38.63809523809524,24.79047619047619,67.01904761904763
Achampet,2019-04-21,2019,Apr,16,0.0,25.34761904761904,38.7047619047619,24.06666666666667,61.12857142857143
Achampet,2019-04-28,2019,Apr,17,0.4,25.92857142857143,39.24761904761905,20.75714285714286,57.70952380952382
Achampet,2019-05-05,2019,May,18,0.0,27.56190476190476,39.77142857142857,22.1,54.39047619047619
Achampet,2019-05-12,2019,May,19,0.09523809523809523,28.77142857142857,40.7,13.80952380952381,49.34761904761905
Achampet,2019-05-19,2019,May,20,0.4095238095238095,27.72380952380952,39.48095238095238,25.18095238095238,64.47619047619048
Achampet,2019-05-26,2019,May,21,0.06190476190476191,28.60476190476191,40.01428571428571,24.36666666666667,64.35714285714286
Achampet,2019-06-02,2019,Jun,22,1.005882352941176,28.0764705882353,40.61764705882353,27.92941176470588,68.32941176470588
Achampet,2019-06-09,2019,Jun,23,6.399999999999999,25.82857142857143,38.54285714285714,39.45714285714286,84.82857142857142
Achampet,2019-06-16,2019,Jun,24,0.1285714285714286,27.02857142857143,37.2,40.21428571428572,75.12857142857142
Achampet,2019-06-23,2019,Jun,25,2.871428571428571,25.2,36.05714285714286,40.55714285714286,81.60000000000001
Achampet,2019-06-30,2019,Jun,26,0.4428571428571429,25.74285714285714,33.65714285714286,54.18571428571429,87.51428571428572
Achampet,2019-07-07,2019,Jul,27,1.528571428571428,24.14285714285714,31.9,58.7,93.82857142857144
Achampet,2019-07-14,2019,Jul,28,0.4142857142857143,24.27142857142857,34.65714285714286,53.57142857142857,88.82857142857142
Achampet,2019-07-21,2019,Jul,29,7.9,24.22857142857143,34.1,62.1,94.72857142857143
Achampet,2019-07-28,2019,Jul,30,6.914285714285714,23.8,31.28571428571428,71.2,97.75714285714285
Achampet,2019-08-04,2019,Aug,31,7.928571428571429,22.37142857142857,27.81428571428572,82.84285714285714,97.57142857142857
Achampet,2019-08-11,2019,Aug,32,0.5857142857142856,22.9,28.8,76.68571428571428,94.25714285714285
Achampet,2019-08-18,2019,Aug,33,2.057142857142857,23.22857142857143,30.45714285714286,66.77142857142857,95.17142857142858
Achampet,2019-08-25,2019,Aug,34,3.914285714285715,22.94285714285714,29.94285714285714,82.18571428571428,98.15714285714286
Achampet,2019-09-01,2019,Sep,35,4.157142857142857,22.8,30.72857142857143,65.88571428571429,91.35714285714286
Achampet,2019-09-08,2019,Sep,36,3.3,23.12857142857143,28.01428571428571,86.74285714285715,97.11428571428571
Achampet,2019-09-15,2019,Sep,37,0.1166666666666667,23.88333333166667,30.60555555666666,73.194444445,93.63333333333333
Achampet,2019-09-22,2019,Sep,38,4.685714285714285,23.86666666714286,30.30952381,79.43333333285715,97.52380952428572
Achampet,2019-09-29,2019,Sep,39,7.571428571428571,23.76190476142857,31.46666666571429,77.89523809571428,97.56666666857143
